date_matlab year month day hour min seg Solar_Zenith_angle(º) Total_Column_O3total(E18mole/cm-2) 
736589.451870 2016.000000 9.000000 16.000000 10.000000 50.000000 41.568001 40.381001 7.871000 
736589.469790 2016.000000 9.000000 16.000000 11.000000 16.000000 29.856003 35.895000 7.877100 
736589.506540 2016.000000 9.000000 16.000000 12.000000 9.000000 25.056000 28.672001 7.871600 
736589.540130 2016.000000 9.000000 16.000000 12.000000 57.000000 47.232002 25.962000 7.851700 
736589.634980 2016.000000 9.000000 16.000000 15.000000 14.000000 22.272003 41.133999 7.821800 
736589.648720 2016.000000 9.000000 16.000000 15.000000 34.000000 9.407997 44.881001 7.819200 
736589.655580 2016.000000 9.000000 16.000000 15.000000 44.000000 2.112000 46.814999 7.818800 
736589.662440 2016.000000 9.000000 16.000000 15.000000 53.000000 54.816002 48.785000 7.813900 
736589.669310 2016.000000 9.000000 16.000000 16.000000 3.000000 48.384003 50.785000 7.817800 
736589.676170 2016.000000 9.000000 16.000000 16.000000 13.000000 41.087997 52.811001 7.823200 
736589.683040 2016.000000 9.000000 16.000000 16.000000 23.000000 34.655998 54.863998 7.820800 
736589.689910 2016.000000 9.000000 16.000000 16.000000 33.000000 28.223999 56.935001 7.828800 
736589.696790 2016.000000 9.000000 16.000000 16.000000 43.000000 22.655998 59.029999 7.819100 
736589.703660 2016.000000 9.000000 16.000000 16.000000 53.000000 16.223999 61.133999 7.818900 
736589.710530 2016.000000 9.000000 16.000000 17.000000 3.000000 9.792000 63.255001 7.807000 
736589.717400 2016.000000 9.000000 16.000000 17.000000 13.000000 3.360001 65.385002 7.815900 
736589.724270 2016.000000 9.000000 16.000000 17.000000 22.000000 56.928001 67.528000 7.808800 
736589.744880 2016.000000 9.000000 16.000000 17.000000 52.000000 37.632004 74.000999 7.812100 
736589.758610 2016.000000 9.000000 16.000000 18.000000 12.000000 23.903999 78.338997 7.814900 
736589.765470 2016.000000 9.000000 16.000000 18.000000 22.000000 16.608002 80.513000 7.817100 
736589.772350 2016.000000 9.000000 16.000000 18.000000 32.000000 11.040001 82.693001 7.809400 
736589.779210 2016.000000 9.000000 16.000000 18.000000 42.000000 3.744003 84.870003 7.794500 
736593.370680 2016.000000 9.000000 20.000000 8.000000 53.000000 46.751999 64.594002 7.418900 
736593.377550 2016.000000 9.000000 20.000000 9.000000 3.000000 40.320000 62.487999 7.421300 
736593.384410 2016.000000 9.000000 20.000000 9.000000 13.000000 33.024002 60.396999 7.423000 
736593.391280 2016.000000 9.000000 20.000000 9.000000 23.000000 26.592003 58.319000 7.416200 
736593.398150 2016.000000 9.000000 20.000000 9.000000 33.000000 20.160004 56.263000 7.419300 
736593.405010 2016.000000 9.000000 20.000000 9.000000 43.000000 12.863998 54.229000 7.418600 
736593.411880 2016.000000 9.000000 20.000000 9.000000 53.000000 6.431999 52.219002 7.421700 
736593.418750 2016.000000 9.000000 20.000000 10.000000 3.000000 0.000000 50.233002 7.419700 
736593.432480 2016.000000 9.000000 20.000000 10.000000 22.000000 46.272003 46.368999 7.420100 
736593.439340 2016.000000 9.000000 20.000000 10.000000 32.000000 38.975998 44.494999 7.418600 
736593.446200 2016.000000 9.000000 20.000000 10.000000 42.000000 31.680000 42.668999 7.429500 
736593.459940 2016.000000 9.000000 20.000000 11.000000 2.000000 18.816002 39.179001 7.428600 
736593.466810 2016.000000 9.000000 20.000000 11.000000 12.000000 12.384003 37.535999 7.438700 
736593.473670 2016.000000 9.000000 20.000000 11.000000 22.000000 5.087997 35.972000 7.440800 
736593.480530 2016.000000 9.000000 20.000000 11.000000 31.000000 57.792000 34.498001 7.450600 
736593.487410 2016.000000 9.000000 20.000000 11.000000 41.000000 52.223999 33.124001 7.454800 
