DiaFrac	Hora	Sza	O3vert	NO2vert
259.7934	19.0404	89.075	269	3.86E15
259.7948	19.0753	89.535	267	3.92E15
259.7963	19.1103	89.997	268	3.96E15
259.7977	19.1453	90.459	268	4E15
259.7992	19.1813	90.934	270	4.07E15
260.286	6.8651	90.794	272	2.74E15
260.2873	6.8961	90.386	270	2.67E15
260.2887	6.9283	89.961	271	2.61E15
260.29	6.9608	89.533	270	2.55E15
260.2915	6.9951	89.08	268	2.48E15
260.7926	19.0224	89.098	269	3.77E15
260.7941	19.0574	89.56	267	3.79E15
260.7956	19.0932	90.033	268	3.86E15
260.7971	19.1294	90.512	269	3.92E15
261.2866	6.8774	90.738	272	2.65E15
261.2878	6.9082	90.332	270	2.56E15
261.2892	6.9401	89.91	270	2.53E15
261.2905	6.9722	89.487	268	2.47E15
261.2919	7.0061	89.04	268	2.45E15
261.7917	19.0011	89.079	269	3.82E15
261.7932	19.0363	89.543	268	3.9E15
261.7947	19.0719	90.015	269	3.97E15
261.7962	19.1079	90.49	270	4.04E15
261.7977	19.1449	90.978	270	4.09E15
262.287	6.8881	90.703	275	2.75E15
262.2883	6.9186	90.3	273	2.68E15
262.2895	6.9488	89.902	272	2.64E15
262.2908	6.9803	89.486	270	2.6E15
262.2923	7.0144	89.035	270	2.52E15
262.7909	18.9818	89.086	265	3.91E15
262.7924	19.0175	89.558	263	3.98E15
262.7939	19.0539	90.039	264	4E15
262.7954	19.0892	90.505	262	4.03E15
262.7969	19.1254	90.983	264	4.09E15
263.2874	6.8969	90.691	271	2.6E15
263.2886	6.9272	90.292	268	2.58E15
263.2899	6.959	89.872	267	2.52E15
263.2913	6.9915	89.443	264	2.48E15
263.2927	7.0239	89.016	262	2.45E15
263.79	18.9611	89.075	257	3.76E15
263.7916	18.9972	89.552	257	3.83E15
263.7931	19.0339	90.037	256	3.87E15
263.7946	19.0694	90.507	257	3.95E15
263.7961	19.1056	90.984	259	3.98E15
264.2874	6.8978	90.786	259	2.58E15
264.2887	6.9289	90.376	259	2.55E15
264.29	6.9613	89.948	258	2.49E15
264.2914	6.9938	89.519	256	2.45E15
264.2928	7.0279	89.068	257	2.41E15
264.7892	18.9414	89.077	260	3.61E15
264.7907	18.9776	89.556	259	3.63E15
264.7923	19.0142	90.039	259	3.73E15
264.7937	19.0494	90.505	260	3.77E15
264.7953	19.0858	90.986	259	3.85E15
265.2878	6.9078	90.761	267	2.67E15
265.2891	6.9383	90.357	265	2.66E15
265.2904	6.9703	89.936	266	2.6E15
265.2918	7.0028	89.506	264	2.56E15
265.2932	7.0369	89.055	265	2.49E15
265.7883	18.9194	89.049	261	3.8E15
265.7898	18.9542	89.508	260	3.83E15
265.7912	18.9893	89.972	261	3.89E15
265.7927	19.0247	90.44	260	3.94E15
265.7942	19.061	90.919	261	4E15
266.2881	6.9138	90.789	266	2.72E15
266.2894	6.9449	90.378	264	2.68E15
266.2907	6.9771	89.952	263	2.64E15
266.2921	7.0097	89.522	261	2.57E15
266.2935	7.0439	89.071	262	2.54E15
266.7876	18.9021	89.081	261	3.84E15
266.7891	18.9374	89.548	261	3.87E15
266.7906	18.9731	90.019	262	3.91E15
266.7921	19.0096	90.502	262	3.97E15
266.7936	19.0472	91	263	4.02E15
267.2885	6.9229	90.775	268	2.58E15
267.2897	6.9538	90.368	266	2.55E15
267.2911	6.9858	89.944	265	2.5E15
267.2924	7.0182	89.517	264	2.43E15
267.2939	7.0525	89.064	263	2.38E15
267.7867	18.8794	89.044	261	3.68E15
267.7881	18.914	89.501	261	3.74E15
267.7896	18.9489	89.962	261	3.77E15
267.791	18.9839	90.424	261	3.82E15
267.7924	19.0189	90.887	261	3.88E15
268.2888	6.931	90.776	265	2.63E15
268.2901	6.9622	90.364	264	2.61E15
268.2914	6.9944	89.938	264	2.59E15
268.2928	7.0269	89.509	262	2.52E15
268.2942	7.0611	89.058	263	2.46E15
268.7859	18.8608	89.059	262	3.75E15
268.7873	18.8958	89.522	260	3.81E15
268.7888	18.9317	89.995	262	3.87E15
268.7903	18.9685	90.482	261	3.91E15
268.7919	19.0064	90.983	262	3.98E15
269.2891	6.9385	90.785	266	2.78E15
269.2904	6.9692	90.38	266	2.75E15
269.2917	7.0013	89.957	262	2.67E15
269.2931	7.0339	89.526	261	2.6E15
269.2945	7.0681	89.075	263	2.56E15
269.7851	18.8428	89.082	264	3.91E15
269.7866	18.8779	89.546	263	3.99E15
269.7881	18.9138	90.019	263	4.04E15
269.7896	18.9501	90.5	263	4.1E15
269.7912	18.9878	90.998	264	4.15E15
270.2895	6.9475	90.775	267	2.66E15
270.2908	6.9783	90.368	266	2.64E15
270.2921	7.0106	89.943	264	2.54E15
270.2935	7.0429	89.516	262	2.51E15
270.2949	7.0771	89.065	263	2.44E15
270.7843	18.8229	89.078	260	3.77E15
270.7858	18.8585	89.549	260	3.82E15
270.7873	18.8949	90.03	260	3.88E15
270.7888	18.9322	90.523	259	3.98E15
270.7903	18.9672	90.986	261	4.05E15
