             NaN   5.0000000e+00   5.0000000e+00   5.0000000e+00   5.0000000e+00   5.0000000e+00   7.0000000e+01   7.0000000e+01   7.0000000e+01   7.0000000e+01   7.0000000e+01   7.5000000e+01   7.5000000e+01   7.5000000e+01   7.5000000e+01   7.5000000e+01   1.1700000e+02   1.1700000e+02   1.1700000e+02   1.1700000e+02   1.1700000e+02   1.2600000e+02   1.2600000e+02   1.2600000e+02   1.2600000e+02   1.2600000e+02   1.5100000e+02   1.5100000e+02   1.5100000e+02   1.5100000e+02   1.5100000e+02   1.6600000e+02   1.6600000e+02   1.6600000e+02   1.6600000e+02   1.6600000e+02
             NaN   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00   1.0000000e+00   2.0000000e+00   3.0000000e+00   4.0000000e+00   5.0000000e+00
             NaN   5.1711685e+00   4.9125494e+00   5.1668758e+00   5.7037368e+00   5.1711685e+00   5.2696499e+00   5.2012870e+00   5.3074643e+00   5.2435733e+00   5.2886979e+00   5.2166669e+00   5.2775592e+00   5.5123933e+00   5.4038487e+00   5.3470057e+00   5.3723324e+00   5.2923520e+00   5.4247111e+00   5.4451002e+00   5.4244018e+00   5.3948588e+00   5.3760983e+00   5.4638199e+00   5.3557024e+00   5.4646689e+00   5.3123792e+00   5.1512489e+00   5.3712706e+00   5.3535245e+00   5.2391049e+00   5.2582305e+00   5.3162807e+00   5.4007007e+00   5.3342091e+00   5.3315091e+00
             NaN  -4.9046254e+00  -4.9046254e+00  -4.9046254e+00  -4.9046254e+00  -4.9046254e+00  -3.9408910e+00  -3.8373955e+00  -3.8373955e+00  -3.8558344e+00  -3.8878474e+00  -4.3346711e+00  -4.3346711e+00  -4.3346711e+00  -4.3346711e+00  -4.3346711e+00  -4.4057513e+00  -4.4092073e+00  -4.4057513e+00  -4.4057513e+00  -4.4057513e+00  -4.8717644e+00  -4.8717644e+00  -4.8717644e+00  -4.8717644e+00  -4.8717644e+00  -4.6236732e+00  -4.6236732e+00  -4.6236732e+00  -4.6236732e+00  -4.6236732e+00  -4.4827564e+00  -4.4827564e+00  -4.4827564e+00  -4.4827564e+00  -4.4827564e+00
   2.9000000e+03             NaN             NaN             NaN             NaN             NaN   1.8086777e-04   1.8086777e-04   1.8086777e-04   1.8086777e-04   1.8086777e-04             NaN             NaN             NaN             NaN             NaN   5.2702584e-05   5.2702584e-05   5.2702584e-05   5.2702584e-05   5.2702584e-05             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN   3.7328452e-05   3.7328452e-05   3.7328452e-05   3.7328452e-05   3.7328452e-05
   2.9001000e+03   1.2455886e-05   1.2455886e-05   1.2455886e-05   1.2455886e-05   1.2455886e-05   1.8103103e-04   1.8103103e-04   1.8103103e-04   1.8103103e-04   1.8103103e-04             NaN             NaN             NaN             NaN             NaN   5.2700704e-05   5.2700704e-05   5.2700704e-05   5.2700704e-05   5.2700704e-05   1.3434937e-05   1.3434937e-05   1.3434937e-05   1.3434937e-05   1.3434937e-05   3.2254206e-05   3.2254206e-05   3.2254206e-05   3.2254206e-05   3.2254206e-05   3.7337169e-05   3.7337169e-05   3.7337169e-05   3.7337169e-05   3.7337169e-05
   2.9002000e+03   1.2468927e-05   1.2468927e-05   1.2468927e-05   1.2468927e-05   1.2468927e-05   1.8119429e-04   1.8119429e-04   1.8119429e-04   1.8119429e-04   1.8119429e-04             NaN             NaN             NaN             NaN             NaN   5.2698824e-05   5.2698824e-05   5.2698824e-05   5.2698824e-05   5.2698824e-05   1.3435703e-05   1.3435703e-05   1.3435703e-05   1.3435703e-05   1.3435703e-05   3.2237152e-05   3.2237152e-05   3.2237152e-05   3.2237152e-05   3.2237152e-05   3.7345886e-05   3.7345886e-05   3.7345886e-05   3.7345886e-05   3.7345886e-05
   2.9003000e+03   1.2481967e-05   1.2481967e-05   1.2481967e-05   1.2481967e-05   1.2481967e-05   1.8135754e-04   1.8135754e-04   1.8135754e-04   1.8135754e-04   1.8135754e-04             NaN             NaN             NaN             NaN             NaN   5.2696945e-05   5.2696945e-05   5.2696945e-05   5.2696945e-05   5.2696945e-05   1.3436470e-05   1.3436470e-05   1.3436470e-05   1.3436470e-05   1.3436470e-05   3.2220098e-05   3.2220098e-05   3.2220098e-05   3.2220098e-05   3.2220098e-05   3.7354603e-05   3.7354603e-05   3.7354603e-05   3.7354603e-05   3.7354603e-05
   2.9004000e+03   1.2495008e-05   1.2495008e-05   1.2495008e-05   1.2495008e-05   1.2495008e-05   1.8152080e-04   1.8152080e-04   1.8152080e-04   1.8152080e-04   1.8152080e-04             NaN             NaN             NaN             NaN             NaN   5.2695065e-05   5.2695065e-05   5.2695065e-05   5.2695065e-05   5.2695065e-05   1.3437236e-05   1.3437236e-05   1.3437236e-05   1.3437236e-05   1.3437236e-05   3.2203044e-05   3.2203044e-05   3.2203044e-05   3.2203044e-05   3.2203044e-05   3.7363321e-05   3.7363321e-05   3.7363321e-05   3.7363321e-05   3.7363321e-05
   2.9005000e+03   1.2508048e-05   1.2508048e-05   1.2508048e-05   1.2508048e-05   1.2508048e-05   1.8168406e-04   1.8168406e-04   1.8168406e-04   1.8168406e-04   1.8168406e-04             NaN             NaN             NaN             NaN             NaN   5.2693186e-05   5.2693186e-05   5.2693186e-05   5.2693186e-05   5.2693186e-05   1.3438003e-05   1.3438003e-05   1.3438003e-05   1.3438003e-05   1.3438003e-05   3.2185991e-05   3.2185991e-05   3.2185991e-05   3.2185991e-05   3.2185991e-05   3.7372038e-05   3.7372038e-05   3.7372038e-05   3.7372038e-05   3.7372038e-05
   2.9006000e+03   1.2521089e-05   1.2521089e-05   1.2521089e-05   1.2521089e-05   1.2521089e-05   1.8184731e-04   1.8184731e-04   1.8184731e-04   1.8184731e-04   1.8184731e-04             NaN             NaN             NaN             NaN             NaN   5.2691306e-05   5.2691306e-05   5.2691306e-05   5.2691306e-05   5.2691306e-05   1.3438769e-05   1.3438769e-05   1.3438769e-05   1.3438769e-05   1.3438769e-05   3.2168937e-05   3.2168937e-05   3.2168937e-05   3.2168937e-05   3.2168937e-05   3.7380755e-05   3.7380755e-05   3.7380755e-05   3.7380755e-05   3.7380755e-05
   2.9007000e+03   1.2534129e-05   1.2534129e-05   1.2534129e-05   1.2534129e-05   1.2534129e-05   1.8201057e-04   1.8201057e-04   1.8201057e-04   1.8201057e-04   1.8201057e-04             NaN             NaN             NaN             NaN             NaN   5.2689426e-05   5.2689426e-05   5.2689426e-05   5.2689426e-05   5.2689426e-05   1.3439536e-05   1.3439536e-05   1.3439536e-05   1.3439536e-05   1.3439536e-05   3.2151883e-05   3.2151883e-05   3.2151883e-05   3.2151883e-05   3.2151883e-05   3.7389473e-05   3.7389473e-05   3.7389473e-05   3.7389473e-05   3.7389473e-05
   2.9008000e+03   1.2547169e-05   1.2547169e-05   1.2547169e-05   1.2547169e-05   1.2547169e-05   1.8217383e-04   1.8217383e-04   1.8217383e-04   1.8217383e-04   1.8217383e-04             NaN             NaN             NaN             NaN             NaN   5.2687547e-05   5.2687547e-05   5.2687547e-05   5.2687547e-05   5.2687547e-05   1.3440303e-05   1.3440303e-05   1.3440303e-05   1.3440303e-05   1.3440303e-05   3.2134829e-05   3.2134829e-05   3.2134829e-05   3.2134829e-05   3.2134829e-05   3.7398190e-05   3.7398190e-05   3.7398190e-05   3.7398190e-05   3.7398190e-05
   2.9009000e+03   1.2560210e-05   1.2560210e-05   1.2560210e-05   1.2560210e-05   1.2560210e-05   1.8233708e-04   1.8233708e-04   1.8233708e-04   1.8233708e-04   1.8233708e-04             NaN             NaN             NaN             NaN             NaN   5.2685667e-05   5.2685667e-05   5.2685667e-05   5.2685667e-05   5.2685667e-05   1.3441069e-05   1.3441069e-05   1.3441069e-05   1.3441069e-05   1.3441069e-05   3.2117775e-05   3.2117775e-05   3.2117775e-05   3.2117775e-05   3.2117775e-05   3.7406907e-05   3.7406907e-05   3.7406907e-05   3.7406907e-05   3.7406907e-05
   2.9010000e+03   1.2573250e-05   1.2573250e-05   1.2573250e-05   1.2573250e-05   1.2573250e-05   1.8250034e-04   1.8250034e-04   1.8250034e-04   1.8250034e-04   1.8250034e-04             NaN             NaN             NaN             NaN             NaN   5.2683787e-05   5.2683787e-05   5.2683787e-05   5.2683787e-05   5.2683787e-05   1.3441836e-05   1.3441836e-05   1.3441836e-05   1.3441836e-05   1.3441836e-05   3.2100721e-05   3.2100721e-05   3.2100721e-05   3.2100721e-05   3.2100721e-05   3.7415624e-05   3.7415624e-05   3.7415624e-05   3.7415624e-05   3.7415624e-05
   2.9011000e+03   1.2586291e-05   1.2586291e-05   1.2586291e-05   1.2586291e-05   1.2586291e-05   1.8266360e-04   1.8266360e-04   1.8266360e-04   1.8266360e-04   1.8266360e-04             NaN             NaN             NaN             NaN             NaN   5.2681908e-05   5.2681908e-05   5.2681908e-05   5.2681908e-05   5.2681908e-05   1.3442602e-05   1.3442602e-05   1.3442602e-05   1.3442602e-05   1.3442602e-05   3.2083667e-05   3.2083667e-05   3.2083667e-05   3.2083667e-05   3.2083667e-05   3.7424342e-05   3.7424342e-05   3.7424342e-05   3.7424342e-05   3.7424342e-05
   2.9012000e+03   1.2599331e-05   1.2599331e-05   1.2599331e-05   1.2599331e-05   1.2599331e-05   1.8282685e-04   1.8282685e-04   1.8282685e-04   1.8282685e-04   1.8282685e-04             NaN             NaN             NaN             NaN             NaN   5.2680028e-05   5.2680028e-05   5.2680028e-05   5.2680028e-05   5.2680028e-05   1.3443369e-05   1.3443369e-05   1.3443369e-05   1.3443369e-05   1.3443369e-05   3.2066613e-05   3.2066613e-05   3.2066613e-05   3.2066613e-05   3.2066613e-05   3.7433059e-05   3.7433059e-05   3.7433059e-05   3.7433059e-05   3.7433059e-05
   2.9013000e+03   1.2612372e-05   1.2612372e-05   1.2612372e-05   1.2612372e-05   1.2612372e-05   1.8299011e-04   1.8299011e-04   1.8299011e-04   1.8299011e-04   1.8299011e-04             NaN             NaN             NaN             NaN             NaN   5.2678149e-05   5.2678149e-05   5.2678149e-05   5.2678149e-05   5.2678149e-05   1.3444135e-05   1.3444135e-05   1.3444135e-05   1.3444135e-05   1.3444135e-05   3.2049559e-05   3.2049559e-05   3.2049559e-05   3.2049559e-05   3.2049559e-05   3.7441776e-05   3.7441776e-05   3.7441776e-05   3.7441776e-05   3.7441776e-05
