date, Brw, idx, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6
735400.000000, 150, 1, 3032.04, 3063.11, 3100.60, 3135.12, 3168.13, 3200.16, 5.63, 5.53, 5.52, 5.59, 5.54, 5.44 
736111.000000, 150, 2, 3032.02, 3063.12, 3100.60, 3135.12, 3168.11, 3200.06, 5.69, 5.54, 5.51, 5.62, 5.51, 5.40 
736218.000000, 150, 3, 3031.95, 3063.02, 3100.55, 3135.01, 3168.01, 3200.00, 5.66, 5.58, 5.53, 5.55, 5.50, 5.42 
736847.000000, 150, 4, 3031.91, 3063.01, 3100.51, 3134.98, 3167.97, 3199.97, 5.66, 5.52, 5.50, 5.59, 5.54, 5.43 
