date, Brw, idx, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6    
736112.000000, 214, 1, 3032.03, 3063.01, 3100.42, 3134.91, 3167.82, 3199.69, 5.43, 5.47, 5.31, 5.42, 5.33, 5.24 
736117.000000, 214, 2, 3033.73, 3064.28, 3101.64, 3134.70, 3161.85, 3200.00, 5.45, 5.40, 5.32, 5.45, 6.07, 5.30 
736847.000000, 214, 3, 3032.22, 3063.20, 3100.63, 3135.06, 3167.91, 3199.83, 5.47, 5.48, 5.36, 5.45, 5.35, 5.27 
