brw,slit_2TC,slit_3TC,slit_4TC,slit_5TC,slit_6TC,slit_2TC_SE,slit_3TC_SE,slit_4TC_SE,slit_5TC_SE,slit_6TC_SE
157,0,0.1,0.9,1.2,0.9,0,0.001,0.0016,0.0031,0.006
183,0,1.1,2.67,3.44,4.33,0,0.0079,0.016,0.021,0.024
185,0,-0.14,-0.1,0.02,-0.11,0,0.00025,0.00058,0.00071,0.001
