%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 23 08 30 01 278.3  1.6
2016 09 23 08 45 01 277.3  0.9
2016 09 23 09 00 01 277.8  1.2
2016 09 23 09 15 01 278.1  1.3
2016 09 23 09 30 01 278.3  1.3
2016 09 23 09 45 01 278.0  1.2
2016 09 23 10 00 01 278.3  1.4
2016 09 23 10 15 01 278.7  1.6
2016 09 23 10 30 01 279.2  1.5
2016 09 23 10 45 01 279.4  1.6
2016 09 23 11 00 01 279.1  1.6
2016 09 23 11 15 01 279.1  1.7
2016 09 23 11 30 01 279.7  1.8
