%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 17 08 30 01 279.8  0.8
2016 09 17 08 45 01 279.4  1.2
2016 09 17 09 00 01 278.6  1.3
2016 09 17 09 15 01 280.1  1.4
2016 09 17 09 30 01 280.0  1.4
2016 09 17 09 45 01 280.4  1.4
2016 09 17 10 00 01 280.5  1.5
2016 09 17 10 15 01 280.2  1.6
2016 09 17 10 30 01 279.9  1.7
2016 09 17 10 45 01 281.4  1.9
2016 09 17 11 00 01 281.2  1.8
2016 09 17 11 15 01 281.4  1.8
2016 09 17 11 30 01 280.9  1.8
2016 09 17 11 45 01 280.9  1.8
2016 09 17 12 00 01 280.8  1.9
2016 09 17 12 15 01 280.7  1.8
2016 09 17 12 30 01 281.4  1.8
2016 09 17 12 45 01 280.7  2.0
2016 09 17 13 00 01 281.9  1.9
2016 09 17 13 15 01 281.0  1.9
2016 09 17 13 30 01 281.6  1.9
2016 09 17 14 00 01 280.5  1.9
2016 09 17 14 15 01 279.2  2.0
2016 09 17 14 30 01 280.1  1.9
2016 09 17 14 45 01 279.0  1.8
2016 09 17 15 00 01 278.2  1.7
2016 09 17 15 15 01 278.4  1.7
2016 09 17 15 30 01 278.2  1.6
2016 09 17 15 45 01 278.3  1.6
2016 09 17 16 00 01 278.3  1.6
2016 09 17 16 15 01 277.6  1.5
2016 09 17 16 30 01 278.3  1.3
2016 09 17 16 45 01 278.3  1.3
2016 09 17 17 30 01 277.1  1.9
