%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 11 11 35 32 278.1  1.8
2016 09 11 11 53 40 277.7  1.9
2016 09 11 12 13 40 278.4  1.9
2016 09 11 12 33 40 279.3  2.0
2016 09 11 12 53 40 279.4  1.9
2016 09 11 13 13 40 279.5  1.8
2016 09 11 13 33 40 280.7  1.9
2016 09 11 13 53 40 281.1  1.9
2016 09 11 14 13 40 281.4  1.9
2016 09 11 14 33 40 281.9  1.8
2016 09 11 14 53 40 281.4  1.7
2016 09 11 15 13 40 282.5  1.7
2016 09 11 15 33 40 282.2  1.6
2016 09 11 15 53 40 283.0  1.5
2016 09 11 16 13 40 282.5  1.3
2016 09 11 16 33 40 282.1  1.4
2016 09 11 16 53 40 282.3  1.1
2016 09 11 17 33 40 281.8  1.6
