%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 21 08 30 01 278.2  1.5
2016 09 21 08 45 01 276.3  1.3
2016 09 21 09 00 01 276.5  1.1
2016 09 21 09 15 01 276.7  1.5
2016 09 21 09 30 01 275.9  1.7
2016 09 21 09 45 01 275.8  1.6
2016 09 21 10 00 01 276.1  1.7
2016 09 21 10 15 01 276.3  1.7
2016 09 21 10 30 01 276.8  1.7
2016 09 21 10 45 01 276.7  1.7
2016 09 21 11 00 01 277.2  1.8
2016 09 21 11 15 01 276.4  1.8
2016 09 21 11 30 01 276.8  1.9
2016 09 21 11 45 01 276.9  1.9
2016 09 21 12 00 01 276.3  1.8
2016 09 21 12 15 01 277.0  1.8
2016 09 21 12 30 01 276.7  2.0
2016 09 21 13 00 01 276.7  2.1
2016 09 21 13 15 01 276.7  2.2
2016 09 21 13 30 01 276.2  2.1
2016 09 21 13 45 01 276.8  1.8
2016 09 21 14 00 01 276.9  2.0
2016 09 21 14 15 01 277.2  1.9
2016 09 21 14 30 01 276.5  2.0
2016 09 21 14 45 01 277.1  1.8
2016 09 21 15 00 01 276.1  1.8
2016 09 21 15 15 01 276.8  1.6
2016 09 21 15 30 01 275.9  1.6
2016 09 21 15 45 01 275.5  1.6
2016 09 21 16 00 01 276.0  1.6
2016 09 21 16 15 01 275.4  1.4
2016 09 21 16 30 01 275.0  1.3
2016 09 21 16 45 01 275.3  1.2
2016 09 21 17 00 01 275.0  1.2
2016 09 21 17 15 01 275.6  1.1
2016 09 21 17 30 01 275.8  2.1
