%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 16 08 30 01 281.0  1.6
2016 09 16 08 45 01 280.0  1.2
2016 09 16 09 00 01 280.0  1.0
2016 09 16 09 15 01 279.8  1.2
2016 09 16 09 30 01 281.6  1.3
2016 09 16 09 45 01 282.0  1.4
2016 09 16 10 00 01 282.8  1.6
2016 09 16 10 15 01 283.0  1.6
2016 09 16 10 30 01 283.4  1.6
2016 09 16 10 45 01 283.8  1.6
2016 09 16 11 00 01 284.1  1.7
2016 09 16 11 15 01 284.0  1.7
2016 09 16 11 30 01 284.3  1.8
2016 09 16 12 00 01 283.7  1.8
2016 09 16 12 15 01 284.3  1.9
2016 09 16 12 30 01 284.0  1.9
2016 09 16 12 45 01 283.9  1.9
2016 09 16 13 00 01 283.7  1.9
2016 09 16 13 15 01 283.8  2.0
2016 09 16 13 30 01 284.1  2.0
2016 09 16 13 45 01 283.9  2.0
2016 09 16 14 00 01 283.2  1.8
2016 09 16 14 15 01 283.6  1.9
2016 09 16 14 30 01 282.9  1.8
2016 09 16 14 45 01 283.7  1.9
2016 09 16 15 00 01 283.1  1.7
2016 09 16 15 15 01 282.7  1.7
2016 09 16 15 30 01 282.5  1.7
2016 09 16 15 45 01 282.1  1.6
2016 09 16 16 00 01 281.3  1.6
2016 09 16 16 15 01 281.5  1.5
2016 09 16 16 30 01 282.0  1.5
2016 09 16 16 45 01 280.6  1.3
2016 09 16 17 00 01 280.9  1.3
2016 09 16 17 30 01 281.9  2.0
