%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 19 08 30 01 269.6  1.2
2016 09 19 08 45 01 269.5  1.0
2016 09 19 09 00 01 269.0  1.3
2016 09 19 09 15 01 269.9  1.4
2016 09 19 09 30 01 267.4  1.6
2016 09 19 09 45 01 268.3  1.6
2016 09 19 10 00 01 270.2  1.6
2016 09 19 10 15 01 270.7  1.8
2016 09 19 10 30 01 270.5  1.9
2016 09 19 10 45 01 271.5  1.9
2016 09 19 11 15 01 271.4  2.1
2016 09 19 11 30 01 273.2  2.0
2016 09 19 11 45 01 272.5  2.0
2016 09 19 12 00 01 273.1  2.0
2016 09 19 12 15 01 273.5  1.9
2016 09 19 12 45 01 274.7  2.0
2016 09 19 13 00 01 273.7  2.0
2016 09 19 13 15 01 273.5  2.0
2016 09 19 13 30 01 275.8  2.2
2016 09 19 13 45 01 274.8  2.0
2016 09 19 14 00 01 274.1  2.0
2016 09 19 14 15 01 274.3  2.0
2016 09 19 14 30 01 273.3  1.9
2016 09 19 14 45 01 273.2  2.0
2016 09 19 15 00 01 273.3  1.9
2016 09 19 15 15 01 271.8  1.6
2016 09 19 15 30 01 272.1  1.6
2016 09 19 15 45 01 272.3  1.5
2016 09 19 16 00 01 272.0  1.6
2016 09 19 16 15 01 272.6  1.5
2016 09 19 16 30 01 272.0  1.4
2016 09 19 16 45 01 270.4  1.3
2016 09 19 17 00 01 270.9  1.0
2016 09 19 17 15 01 272.0  0.9
2016 09 19 17 30 01 272.3  1.1
