%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 20 08 30 01 269.3  1.2
2016 09 20 08 45 01 267.8  1.0
2016 09 20 09 00 01 267.6  1.1
2016 09 20 09 15 01 267.7  1.4
2016 09 20 09 30 01 268.6  1.5
2016 09 20 09 45 01 267.9  1.4
2016 09 20 10 00 01 268.9  1.6
2016 09 20 10 15 01 268.7  1.6
2016 09 20 10 30 01 268.7  1.7
2016 09 20 10 45 01 268.5  1.8
2016 09 20 11 00 01 269.6  1.8
2016 09 20 11 15 01 269.6  1.8
2016 09 20 11 30 01 270.2  1.8
2016 09 20 11 45 01 270.1  1.8
2016 09 20 12 00 01 271.6  1.9
2016 09 20 12 15 01 270.0  1.8
2016 09 20 12 30 01 270.1  2.0
2016 09 20 12 45 01 270.3  2.0
2016 09 20 13 00 01 271.4  2.0
2016 09 20 13 29 48 271.9  1.9
2016 09 20 14 00 01 271.3  2.0
2016 09 20 14 15 01 272.1  1.9
2016 09 20 14 30 01 273.0  1.9
2016 09 20 14 45 01 272.1  1.8
2016 09 20 15 00 01 271.8  1.7
2016 09 20 15 15 01 270.9  1.6
2016 09 20 15 30 01 272.5  1.7
2016 09 20 15 45 01 272.4  1.6
2016 09 20 16 00 01 271.7  1.4
2016 09 20 16 15 01 272.1  1.4
2016 09 20 16 30 01 271.7  1.3
2016 09 20 16 45 01 270.9  1.2
2016 09 20 17 00 01 271.0  1.1
2016 09 20 17 15 01 271.2  1.4
2016 09 20 17 30 01 271.3  1.6
