%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 25 08 30 01 275.2  1.6
2016 09 25 08 45 01 274.4  1.1
2016 09 25 09 00 01 275.0  0.8
2016 09 25 09 15 01 274.5  1.2
2016 09 25 09 30 01 274.4  1.2
2016 09 25 09 45 01 274.2  1.2
2016 09 25 10 00 01 274.2  1.3
2016 09 25 10 15 01 274.6  1.4
2016 09 25 15 30 01 280.1  2.8
2016 09 25 15 45 01 278.6  1.7
2016 09 25 16 00 01 277.7  1.5
2016 09 25 16 15 01 277.5  1.5
2016 09 25 16 30 01 276.9  1.3
2016 09 25 16 45 01 277.3  1.1
2016 09 25 17 00 01 276.7  1.2
2016 09 25 17 15 01 277.7  0.9
