%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 14 08 30 01 284.4  1.2
2016 09 14 08 45 01 282.5  1.0
2016 09 14 09 00 01 283.1  1.0
2016 09 14 09 15 01 283.8  1.3
2016 09 14 09 30 01 283.9  1.4
2016 09 14 09 45 01 284.1  1.4
2016 09 14 10 00 01 282.8  1.6
2016 09 14 10 15 01 282.9  1.5
2016 09 14 10 30 01 283.5  1.7
2016 09 14 10 45 01 283.9  1.7
2016 09 14 11 00 01 283.3  1.9
2016 09 14 11 15 01 283.3  1.8
2016 09 14 11 30 01 283.0  1.9
2016 09 14 11 45 01 282.9  1.8
2016 09 14 12 00 01 283.3  1.9
2016 09 14 12 15 01 283.2  1.8
2016 09 14 12 30 01 283.4  1.8
2016 09 14 12 45 01 283.4  1.8
2016 09 14 13 00 01 281.9  2.1
2016 09 14 13 15 01 283.2  2.0
2016 09 14 13 30 01 284.6  1.9
2016 09 14 13 45 01 283.4  2.0
2016 09 14 14 15 01 284.2  2.0
2016 09 14 14 30 01 284.6  1.9
2016 09 14 14 45 01 284.7  1.8
2016 09 14 15 00 01 284.5  1.6
2016 09 14 15 15 01 284.4  1.7
2016 09 14 15 30 01 284.9  1.7
2016 09 14 15 45 01 285.1  1.6
2016 09 14 16 00 01 285.2  1.6
2016 09 14 16 15 01 284.8  1.4
2016 09 14 16 30 01 285.4  1.4
2016 09 14 16 45 01 285.8  1.2
2016 09 14 17 00 01 285.0  1.1
2016 09 14 17 15 01 285.1  1.4
2016 09 14 17 30 01 285.4  1.3
