%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 13 08 20 01 284.3  2.7
2016 09 13 08 40 01 282.5  1.2
2016 09 13 09 00 01 282.2  0.9
2016 09 13 09 20 01 282.9  1.2
2016 09 13 09 40 01 282.3  1.5
2016 09 13 10 00 01 283.1  1.5
2016 09 13 10 20 01 281.4  1.5
2016 09 13 10 40 01 281.9  1.7
2016 09 13 11 00 01 282.2  1.7
2016 09 13 11 20 01 281.5  1.9
2016 09 13 11 40 01 283.0  1.9
2016 09 13 12 00 01 284.3  2.0
2016 09 13 12 20 01 283.1  2.0
2016 09 13 12 40 01 284.1  2.1
2016 09 13 13 00 01 284.1  2.1
2016 09 13 13 20 01 283.2  2.1
2016 09 13 14 00 01 284.2  2.2
2016 09 13 14 20 01 284.6  1.9
2016 09 13 14 40 01 284.6  1.9
2016 09 13 15 00 01 285.1  1.9
2016 09 13 15 20 01 285.4  1.7
2016 09 13 15 40 01 285.2  1.7
2016 09 13 16 00 01 285.1  1.6
2016 09 13 16 20 42 285.1  1.4
2016 09 13 16 45 01 285.3  1.3
2016 09 13 17 00 01 284.8  1.3
2016 09 13 17 15 01 284.6  1.0
2016 09 13 17 30 01 283.4  1.0
