%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 15 08 30 01 282.2  1.2
2016 09 15 08 45 01 281.7  1.0
2016 09 15 09 00 01 282.2  1.2
2016 09 15 09 15 01 281.1  1.4
2016 09 15 09 30 01 282.3  1.3
2016 09 15 09 45 01 282.7  1.4
2016 09 15 10 00 01 281.9  1.5
2016 09 15 10 15 01 282.3  1.6
2016 09 15 10 30 01 281.1  1.5
2016 09 15 10 45 01 281.2  1.6
2016 09 15 11 00 01 281.5  1.7
2016 09 15 11 15 01 281.5  1.8
2016 09 15 11 30 01 282.0  1.7
2016 09 15 11 45 01 281.4  1.7
2016 09 15 12 00 01 282.3  1.8
2016 09 15 12 15 01 282.0  1.9
2016 09 15 12 30 01 281.5  1.9
2016 09 15 12 45 01 281.5  1.9
2016 09 15 13 00 01 281.5  1.8
2016 09 15 13 15 01 281.5  1.8
2016 09 15 13 30 01 281.3  1.8
2016 09 15 13 45 01 281.6  1.8
2016 09 15 14 00 01 282.0  1.9
2016 09 15 14 15 01 281.7  1.8
2016 09 15 14 30 01 280.9  1.7
2016 09 15 14 45 01 280.5  1.8
2016 09 15 15 00 01 281.1  1.8
2016 09 15 15 15 01 280.7  1.7
2016 09 15 15 30 01 280.9  1.7
2016 09 15 15 45 01 279.5  1.5
2016 09 15 16 00 01 278.6  1.9
2016 09 15 16 15 01 279.6  1.5
2016 09 15 16 30 01 280.1  1.4
2016 09 15 16 45 01 280.6  1.3
2016 09 15 17 00 01 280.1  1.2
2016 09 15 17 15 01 279.7  1.2
2016 09 15 17 30 01 280.7  1.8
