%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 24 08 30 01 277.8  1.2
2016 09 24 08 45 01 276.9  1.2
2016 09 24 09 00 01 277.0  1.5
2016 09 24 09 15 01 277.2  1.0
2016 09 24 09 30 01 277.3  1.3
2016 09 24 09 45 01 277.0  1.3
2016 09 24 10 00 01 277.2  1.4
2016 09 24 10 15 01 277.7  1.6
2016 09 24 10 30 01 277.4  1.6
2016 09 24 10 45 01 277.9  1.6
2016 09 24 11 00 01 278.1  1.7
2016 09 24 11 15 01 278.1  1.7
2016 09 24 11 30 01 278.3  1.7
2016 09 24 11 45 01 278.4  1.9
2016 09 24 12 00 01 278.2  1.8
2016 09 24 12 15 01 278.5  1.8
2016 09 24 12 30 01 278.3  1.8
2016 09 24 12 45 01 279.1  1.9
2016 09 24 13 00 01 278.4  1.8
2016 09 24 13 15 01 277.8  1.8
2016 09 24 13 30 01 277.5  1.8
2016 09 24 13 45 01 277.9  1.8
2016 09 24 14 00 01 278.1  1.8
2016 09 24 14 30 01 277.9  1.7
2016 09 24 14 45 01 278.8  1.7
2016 09 24 15 00 01 278.4  1.7
2016 09 24 15 15 01 277.9  1.6
2016 09 24 15 30 01 277.7  1.5
2016 09 24 15 45 01 277.1  1.5
2016 09 24 16 00 01 277.0  1.4
2016 09 24 16 15 01 276.5  1.3
2016 09 24 16 30 01 276.3  1.2
2016 09 24 16 45 01 276.0  1.1
2016 09 24 17 00 01 276.3  1.2
2016 09 24 17 15 01 276.8  1.0
