Pandora #101 direct sun retrievals of total ozone vertical column amounts
at Izana Atmospheric Research Center, Spain, Lat 28.309°, Long -16.4994°, 2360m a.s.l.
Data are not cloud screened! For cloud screening use columns 5 or 6 and column 8.
File created with script <extract_gas> on Fri 23 Jun 2017, 11:03:33 UT
---------------------------------------------------------------------------------------
Column 1: UT date and time for center of measurement, yyyymmddThhmmssZ (ISO 8601)
Column 2: Total duration of measurement in seconds
Column 3: Solar zenith angle at the center-time of the measurement in degree
Column 4: Solar azimuth at the center-time of the measurement in degree, 0=north, increases clockwise
Column 5: rms of unweighted spectral fitting residuals
Column 6: Normalized rms of weighted spectral fitting residuals
Column 7: Ozone vertical column amount [Dobson Units]
Column 8: Uncertainty of ozone vertical column amount [Dobson Units]
Column 9: Direct sun ozone air mass factor
Column 10: Sum over 2^i with i being a level 2 error index (see level 2 data header)
Column 11: Effective temperature [°C], 999=no effective temperature given
Column 12: Estimated average residual stray light level [%] (see level 2 data header)
Column 13: Retrieved wavelength shift [nm], -9=no wavelength change determination
Column 14: Position of filterwheel #2, 0=filterwheel not used, 1-9 are valid positions
Column 15: Fitting result index: 1,2=no error, >2=error
Column 16: Ozone effective temperature [K], -9=not retrieved or retrieval not successfull
Column 17: Uncertainty of ozone effective temperature [K], -9=not retrieved or retrieval not successfull
---------------------------------------------------------------------------------------
20160901T065200Z 20.00 89.18 81.25 8.825e-02 5.998e-02 7.9989e+01 2.6434e+02 14.092 96 22.53 -9.00 0.22612 0 2 -9.0 -9.0
20160901T065408Z 20.00 88.72 81.50 1.915e-01 1.837e-01 1.0042e+02 1.9258e+02 13.636 32 22.53 -9.00 -0.07391 0 2 -9.0 -9.0
20160901T065616Z 20.00 88.25 81.75 1.086e-01 6.379e-02 1.5650e+01 1.6772e+02 13.084 96 22.53 -9.00 0.07078 0 2 -9.0 -9.0
20160901T065824Z 20.00 87.79 82.00 7.029e-02 4.760e-02 8.5689e+00 1.9806e+02 12.473 32 22.53 -9.00 -0.02239 0 2 -9.0 -9.0
20160901T070107Z 20.00 87.19 82.32 3.765e-01 1.696e-01 2.2066e+02 1.5256e+02 11.660 0 22.53 -9.00 -0.01196 0 2 -9.0 -9.0
20160901T070315Z 20.00 86.73 82.57 1.258e-01 3.677e-02 6.4381e+00 6.5973e+01 11.024 0 22.53 -9.00 0.01884 0 2 -9.0 -9.0
20160901T070522Z 20.00 86.27 82.82 1.202e-01 2.726e-02 5.2161e+01 4.1103e+01 10.413 0 22.53 -9.00 -0.00299 0 2 -9.0 -9.0
20160901T070730Z 20.00 85.80 83.07 1.655e-01 2.341e-02 2.5902e+02 1.7291e+01 9.829 96 22.53 -9.00 0.02151 0 2 -9.0 -9.0
20160901T070938Z 20.56 85.33 83.32 1.326e-01 1.822e-02 2.6609e+02 9.0456e+00 9.280 0 22.53 -9.00 0.00140 0 2 -9.0 -9.0
20160901T071222Z 23.33 84.73 83.64 1.072e-01 8.453e-03 2.5322e+02 6.4741e+00 8.629 0 22.53 -9.00 0.00587 0 2 -9.0 -9.0
20160901T071434Z 20.95 84.25 83.90 9.863e-02 1.107e-02 2.6717e+02 5.3054e+00 8.160 0 22.54 -9.00 0.01431 0 2 -9.0 -9.0
