Pandora #121 direct sun retrievals of total ozone vertical column amounts
at Izana Atmospheric Research Center, Spain, Lat 28.309°, Long -16.4994°, 2360m a.s.l.
Data are not cloud screened! For cloud screening use columns 5 or 6 and column 8.
File created with script <extract_gas> on Mon 12 Sep 2016, 15:22:01 UT
---------------------------------------------------------------------------------------
Column 1: UT date and time for center of measurement, yyyymmddThhmmssZ (ISO 8601)
Column 2: Total duration of measurement in seconds
Column 3: Solar zenith angle at the center-time of the measurement in degree
Column 4: Solar azimuth at the center-time of the measurement in degree, 0=north, increases clockwise
Column 5: rms of unweighted spectral fitting residuals
Column 6: Normalized rms of weighted spectral fitting residuals
Column 7: Ozone vertical column amount [Dobson Units]
Column 8: Uncertainty of ozone vertical column amount [Dobson Units]
Column 9: Direct sun ozone air mass factor
Column 10: Sum over 2^i with i being a level 2 error index (see level 2 data header)
Column 11: Effective temperature [°C], 999=no effective temperature given
Column 12: Estimated average residual stray light level [%] (see level 2 data header)
Column 13: Retrieved wavelength shift [nm], -9=no wavelength change determination
Column 14: Position of filterwheel #2, 0=filterwheel not used, 1-9 are valid positions
Column 15: Fitting result index: 1,2=no error, >2=error
Column 16: Ozone effective temperature [K], -9=not retrieved or retrieval not successfull
Column 17: Uncertainty of ozone effective temperature [K], -9=not retrieved or retrieval not successfull
---------------------------------------------------------------------------------------
20160901T092356Z 33.45 55.87 99.96 7.075e-03 5.386e-03 2.7788e+02 8.7105e-02 1.772 0 16.16 -9.00 -0.01239 8 2 -9.0 -9.0
20160901T092836Z 33.31 54.86 100.64 7.013e-03 5.364e-03 2.7739e+02 8.7322e-02 1.729 0 16.16 -9.00 -0.01222 8 2 -9.0 -9.0
20160901T093749Z 33.31 52.87 102.03 6.895e-03 5.494e-03 2.7728e+02 9.0164e-02 1.649 0 16.16 -9.00 -0.01156 8 2 -9.0 -9.0
20160901T094402Z 33.29 51.54 103.00 6.854e-03 5.493e-03 2.7677e+02 9.0125e-02 1.601 0 16.16 -9.00 -0.01105 8 2 -9.0 -9.0
20160901T094927Z 33.43 50.38 103.86 6.857e-03 5.421e-03 2.7693e+02 8.8956e-02 1.562 0 16.17 -9.00 -0.01109 8 2 -9.0 -9.0
20160901T095405Z 33.31 49.39 104.63 6.833e-03 5.468e-03 2.7748e+02 8.8811e-02 1.531 0 16.17 -9.00 -0.01113 8 2 -9.0 -9.0
20160901T095914Z 33.27 48.29 105.50 6.815e-03 5.513e-03 2.7712e+02 8.9413e-02 1.498 0 16.17 -9.00 -0.01108 8 2 -9.0 -9.0
20160901T100446Z 33.40 47.12 106.46 6.814e-03 5.519e-03 2.7713e+02 8.9399e-02 1.465 0 16.18 -9.00 -0.01071 8 2 -9.0 -9.0
20160901T100926Z 33.27 46.14 107.30 6.802e-03 5.494e-03 2.7695e+02 9.0785e-02 1.439 0 16.18 -9.00 -0.01059 8 2 -9.0 -9.0
20160901T101513Z 33.40 44.93 108.37 6.780e-03 5.490e-03 2.7714e+02 8.9652e-02 1.409 0 16.19 -9.00 -0.01051 8 2 -9.0 -9.0
20160901T102038Z 33.26 43.80 109.40 6.764e-03 5.538e-03 2.7700e+02 9.0999e-02 1.382 0 16.19 -9.00 -0.01045 8 2 -9.0 -9.0
20160901T102516Z 33.38 42.84 110.32 6.758e-03 5.555e-03 2.7707e+02 9.0397e-02 1.361 0 16.20 -9.00 -0.01066 8 2 -9.0 -9.0
20160901T103429Z 33.38 40.95 112.24 6.741e-03 5.611e-03 2.7722e+02 9.2254e-02 1.322 4 16.20 -9.00 -0.01009 8 2 -9.0 -9.0
20160901T104043Z 33.45 39.69 113.61 6.756e-03 5.602e-03 2.7795e+02 9.1935e-02 1.297 0 16.20 -9.00 -0.01001 8 2 -9.0 -9.0
20160901T104606Z 33.24 38.61 114.85 6.732e-03 5.605e-03 2.7728e+02 9.3326e-02 1.278 0 16.20 -9.00 -0.00988 8 2 -9.0 -9.0
20160901T105043Z 33.37 37.69 115.95 6.740e-03 5.609e-03 2.7707e+02 9.1506e-02 1.262 4 16.18 -9.00 -0.00953 8 2 -9.0 -9.0
20160901T105551Z 33.37 36.68 117.23 6.721e-03 5.603e-03 2.7686e+02 9.3189e-02 1.245 0 16.19 -9.00 -0.00983 8 2 -9.0 -9.0
20160901T110113Z 33.26 35.64 118.62 6.740e-03 5.634e-03 2.7674e+02 9.2929e-02 1.229 0 16.18 -9.00 -0.00946 8 2 -9.0 -9.0
20160901T110549Z 33.37 34.76 119.87 6.728e-03 5.582e-03 2.7618e+02 9.3544e-02 1.216 0 16.18 -9.00 -0.00927 8 2 -9.0 -9.0
20160901T111056Z 33.40 33.79 121.32 6.722e-03 5.661e-03 2.7620e+02 9.5483e-02 1.202 0 16.18 -9.00 -0.00915 8 2 -9.0 -9.0
20160901T111618Z 33.28 32.79 122.92 6.734e-03 5.733e-03 2.7702e+02 9.5800e-02 1.188 0 16.17 -9.00 -0.00880 8 2 -9.0 -9.0
20160901T112053Z 33.38 31.95 124.35 6.728e-03 5.691e-03 2.7625e+02 9.5862e-02 1.177 0 16.17 -9.00 -0.00881 8 2 -9.0 -9.0
20160901T113003Z 33.43 30.32 127.39 6.715e-03 5.664e-03 2.7705e+02 9.5411e-02 1.157 0 16.15 -9.00 -0.00887 8 2 -9.0 -9.0
20160901T113615Z 33.40 29.25 129.62 6.681e-03 5.681e-03 2.7678e+02 9.6821e-02 1.145 0 16.14 -9.00 -0.00866 8 2 -9.0 -9.0
