%BTS ozone retrieval from direct irradiance
%4 8 2017 Luca Egli (Format: Date/Time, TO3, Crit.) range: 300 -340 nm, with wl-shift
%Using Ozonesonde ozonsonde/ozonesonde_16091410.29Z.csv
%Effective ozone temperature 229.4 K
%Effective ozone height 25.0 km 
%Using ozone x-sections bremen
2016 09 16 11 06 46 289.0  7.9
2016 09 16 11 06 60 283.2  9.0
2016 09 16 11 07 13 287.1  7.7
2016 09 16 11 07 27 287.3  7.5
2016 09 16 11 07 40 286.7  7.8
2016 09 16 11 07 54 286.0  8.3
2016 09 16 11 08 07 288.8  8.0
2016 09 16 11 08 21 288.1  8.2
2016 09 16 11 08 35 286.1  9.1
2016 09 16 11 08 48 286.7  9.1
2016 09 16 11 09 02 287.9  8.0
2016 09 16 11 09 15 282.7  8.3
2016 09 16 11 09 29 285.9  8.7
2016 09 16 11 09 42 285.9  7.5
2016 09 16 11 09 56 286.6  9.4
2016 09 16 11 10 09 291.2  9.2
2016 09 16 11 10 23 286.0  7.9
2016 09 16 11 10 36 287.9  7.4
2016 09 16 11 10 50 287.5  9.8
2016 09 16 11 11 03 285.0  8.4
2016 09 16 11 11 17 287.8  8.0
2016 09 16 11 11 30 287.2  8.0
2016 09 16 11 11 43 287.1  9.4
2016 09 16 11 11 57 283.5  7.9
2016 09 16 11 12 10 287.8  7.1
2016 09 16 11 12 23 286.0  8.8
2016 09 16 11 12 36 285.6  9.0
2016 09 16 11 12 50 288.3  8.5
2016 09 16 11 13 03 285.5  8.2
2016 09 16 11 13 16 285.7  7.5
2016 09 16 11 13 29 286.3  8.5
2016 09 16 11 13 43 285.5  7.8
2016 09 16 11 13 56 287.3  8.5
2016 09 16 11 14 09 287.3  8.7
2016 09 16 11 14 22 288.2  8.2
2016 09 16 11 14 36 288.0  8.3
2016 09 16 11 14 49 284.6  8.0
2016 09 16 11 15 02 290.7  8.9
2016 09 16 11 15 15 286.4  8.3
2016 09 16 11 15 28 286.0  8.5
2016 09 16 11 15 42 286.4  8.2
2016 09 16 11 15 55 287.2  8.1
2016 09 16 11 16 08 286.2  8.0
2016 09 16 11 16 21 285.2  9.1
2016 09 16 11 16 35 286.7  9.1
2016 09 16 11 16 48 287.6  8.6
2016 09 16 11 17 01 286.4  8.8
2016 09 16 11 17 14 286.8  9.1
2016 09 16 11 17 27 286.7  8.7
2016 09 16 11 17 41 286.4  9.2
2016 09 16 11 17 54 287.5  8.7
2016 09 16 11 18 07 286.3  9.8
2016 09 16 11 18 21 290.5  7.8
2016 09 16 11 18 37 285.9  8.4
2016 09 16 11 18 55 285.7  9.2
2016 09 16 11 19 21 287.5  8.2
2016 09 16 11 19 43 287.0  9.0
2016 09 16 11 19 57 287.5  8.4
2016 09 16 11 20 11 288.9  8.4
2016 09 16 11 20 24 288.4  8.2
2016 09 16 11 20 38 286.5  7.8
2016 09 16 11 20 52 286.3  8.7
2016 09 16 11 21 05 290.5  8.5
2016 09 16 11 21 18 286.4  8.2
2016 09 16 11 21 31 287.5  8.3
2016 09 16 11 21 44 288.7  9.5
2016 09 16 11 21 58 287.4  7.9
2016 09 16 11 22 11 288.8  8.0
2016 09 16 11 22 24 288.4  8.1
2016 09 16 11 22 36 288.9  8.4
2016 09 16 11 22 49 286.3  9.2
2016 09 16 11 23 03 288.5  8.5
2016 09 16 11 23 15 289.9  7.6
2016 09 16 11 23 28 286.5  9.4
2016 09 16 11 23 41 286.6  8.2
2016 09 16 11 23 54 286.8  8.6
2016 09 16 11 24 07 289.0  7.3
2016 09 16 11 24 20 285.9  9.2
2016 09 16 11 24 33 287.5  8.2
2016 09 16 11 24 46 285.0  9.3
2016 09 16 11 24 59 288.3  8.1
2016 09 16 11 25 12 287.8  8.1
2016 09 16 11 25 25 288.4  7.7
2016 09 16 11 25 38 286.3  7.7
2016 09 16 11 25 51 285.5  8.3
2016 09 16 11 26 04 287.9  8.2
2016 09 16 11 26 17 287.4  8.2
2016 09 16 11 26 30 287.3  8.4
2016 09 16 11 26 43 285.4  9.5
2016 09 16 11 26 56 286.0  8.2
2016 09 16 11 27 09 285.3  8.9
2016 09 16 11 27 22 286.7  9.6
2016 09 16 11 27 35 289.8  8.4
2016 09 16 11 27 48 287.2  8.3
2016 09 16 11 28 01 291.3  8.6
2016 09 16 11 28 14 288.9  7.9
2016 09 16 11 28 27 288.7  9.6
2016 09 16 11 28 40 288.3  8.0
2016 09 16 11 28 53 286.4  8.2
2016 09 16 11 29 05 288.8  8.2
2016 09 16 11 29 18 287.2  9.8
2016 09 16 11 29 31 289.9  8.7
2016 09 16 11 29 44 288.6  9.6
2016 09 16 11 29 57 284.5  9.2
2016 09 16 11 30 10 288.4  9.0
2016 09 16 11 30 23 287.1  8.1
2016 09 16 11 30 35 286.3  8.0
2016 09 16 11 30 48 287.8  8.4
2016 09 16 11 31 01 285.7  8.7
2016 09 16 11 31 13 286.4  8.3
2016 09 16 11 31 26 285.8  8.0
2016 09 16 11 31 39 285.6  8.4
2016 09 16 11 31 52 286.9  8.8
2016 09 16 11 32 04 285.5  8.5
2016 09 16 11 32 17 288.5  8.7
2016 09 16 11 32 30 288.6  8.9
2016 09 16 11 32 44 286.9  9.2
2016 09 16 11 32 56 287.5  8.2
2016 09 16 11 33 09 289.4  8.4
2016 09 16 11 33 22 287.8  8.1
2016 09 16 11 33 35 289.5  8.0
2016 09 16 11 33 47 288.2  8.9
2016 09 16 11 33 60 289.1  8.0
2016 09 16 11 34 12 286.1  9.0
2016 09 16 11 34 25 284.2 10.0
2016 09 16 11 34 38 288.2  9.0
2016 09 16 11 34 51 285.4  8.7
2016 09 16 11 35 03 287.7  8.4
2016 09 16 11 35 16 287.2  8.8
2016 09 16 11 35 29 286.2  9.3
2016 09 16 11 35 42 287.2  8.5
2016 09 16 11 35 54 288.1  9.3
2016 09 16 11 36 07 287.9  9.1
2016 09 16 11 36 20 287.4  9.7
2016 09 16 11 36 33 285.0  9.2
2016 09 16 11 36 45 286.7  9.2
2016 09 16 11 36 58 285.7  8.5
2016 09 16 11 37 11 285.7  9.0
2016 09 16 11 37 24 287.5  8.7
2016 09 16 11 37 37 286.6  8.1
2016 09 16 11 37 49 287.3  8.9
2016 09 16 11 38 02 288.8  7.7
2016 09 16 11 38 15 286.2  8.9
2016 09 16 11 38 27 288.0  8.7
2016 09 16 11 38 40 284.3  8.9
2016 09 16 11 38 53 286.3  8.9
2016 09 16 11 39 05 287.9  8.3
2016 09 16 11 39 18 287.3  9.1
2016 09 16 11 39 31 290.0  8.2
2016 09 16 11 39 43 286.3  9.3
2016 09 16 11 39 56 287.1  9.2
2016 09 16 11 40 09 288.3  8.7
2016 09 16 11 40 21 288.8 10.1
