date, Brw, fit, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6
736141.000000, 185, 24, 3031.94, 3063.01, 3100.52, 3134.97, 3168.05, 3199.97, 5.58, 5.54, 5.45, 5.53, 5.39, 5.32
736168.000000, 185, 9, 3031.93, 3063.02, 3100.54, 3135.04, 3168.09, 3200.03, 5.63, 5.54, 5.46, 5.54, 5.42, 5.37 
736183.000000, 185, 10, 3031.94, 3063.08, 3100.63, 3135.03, 3168.11, 3200.02, 5.64, 5.51, 5.43, 5.53, 5.46, 5.36 
736216.000000, 185, 11, 3032.21, 3063.10, 3100.53, 3134.99, 3168.04, 3199.99, 5.64, 5.52, 5.48, 5.52, 5.43, 5.33 
736265.000000, 185, 12, 3031.98, 3063.14, 3100.59, 3135.03, 3168.09, 3200.05, 5.53, 5.40, 5.39, 5.53, 5.43, 5.33 
736285.000000, 185, 13, 3031.91, 3063.03, 3100.52, 3134.99, 3168.02, 3199.98, 5.62, 5.54, 5.44, 5.47, 5.42, 5.37 
736327.000000, 185, 14, 3031.94, 3063.04, 3100.50, 3134.98, 3168.01, 3199.95, 5.63, 5.55, 5.43, 5.50, 5.44, 5.36 
736337.000000, 185, 15, 3031.94, 3063.05, 3100.55, 3135.01, 3168.06, 3200.03, 5.62, 5.52, 5.43, 5.49, 5.44, 5.38 
736361.000000, 185, 16, 3031.95, 3063.04, 3100.56, 3135.03, 3168.06, 3199.98, 5.63, 5.54, 5.41, 5.53, 5.46, 5.41 
736393.000000, 185, 17, 3031.92, 3063.06, 3100.55, 3135.03, 3168.07, 3200.04, 5.65, 5.52, 5.44, 5.50, 5.43, 5.37 
736434.000000, 185, 18, 3031.92, 3063.05, 3100.54, 3134.98, 3168.02, 3199.98, 5.62, 5.49, 5.44, 5.53, 5.44, 5.35 
736462.000000, 185, 19, 3031.91, 3062.95, 3100.50, 3134.93, 3167.98, 3199.91, 5.61, 5.54, 5.39, 5.54, 5.46, 5.40 
736488.000000, 185, 20, 3031.93, 3063.06, 3100.59, 3135.05, 3168.09, 3200.05, 5.60, 5.51, 5.45, 5.54, 5.42, 5.34 
736507.000000, 185, 21, 3031.97, 3063.04, 3100.57, 3135.02, 3168.05, 3200.01, 5.59, 5.48, 5.45, 5.53, 5.43, 5.31 
736523.000000, 185, 22, 3031.92, 3063.04, 3100.51, 3135.04, 3168.07, 3200.04, 5.59, 5.53, 5.48, 5.56, 5.45, 5.32 
