brw,slit_2TC,slit_3TC,slit_4TC,slit_5TC,slit_6TC,R5TC,R6TC,slit_2TC_SE,slit_3TC_SE,slit_4TC_SE,slit_5TC_SE,slit_6TC_SE,R5TC_SE,R6TC_SE
5,0.150269039706709,0.102334999485146,0.05649776699667,0.0775663159372153,0.187145550226857,0.32340168231898,0.166245021870672,0.00592034135351505,0.00403000827272953,0.0022229606956987,0.00305535449400284,0.00736789188049783,0.0127245600478387,0.00654107532242569
17,2.59763603203512,2.59738072875205,2.58293182033581,2.6109928408785,2.57361894958932,1.54891602669769,0.866107714116533,0.104528897293833,0.104518623887425,0.103937199682794,0.105066375401829,0.103562449680189,0.0623283948462204,0.0348521822063558
33,0.755551837767248,0.723566835547203,0.71464264475918,0.720165009899926,0.74954398346975,0.807181004734966,0.447732147497349,0.0275066272092487,0.0263421809219447,0.0260172867493943,0.0262183340258971,0.0272879052100049,0.0293862391404456,0.0163001407119862
53,8.28032623296557,8.24963772624161,8.21589691462642,8.17199907712065,8.13549518967185,0.982628791947867,0.543827386725539,0.630702269240998,0.628364763412621,0.625794767273216,0.622451122958885,0.619670666730191,0.0748456270280429,0.0414226634595239
70,1.28333623291963,1.29448327796605,1.29751045647916,1.31632738994277,1.31841319152267,0.343538896521675,0.191911502219109,0.0751664422637402,0.0757608989002663,0.0759360492121195,0.0770378484294949,0.0771618034459444,0.0201218246575715,0.0112406764896865
75,2.00676301724939,2.02243484728702,1.99933262611724,1.94653417881986,1.81638242077948,0.754167423818265,0.391319802648723,0.0850898771411719,0.0857640879111515,0.0847844069439227,0.0824838494395829,0.0770129268365085,0.0320013576809554,0.016604754563385
82,1.42425580022319,1.43862642039445,1.45777513557086,1.49446337113977,1.57101061179383,0.435456451473062,0.235277546060731,0.110347088217084,0.111460480973866,0.112944066269768,0.115786561252914,0.121717212977067,0.0337378660896915,0.0182286020015465
102,24.6631253548817,27.4542321376263,26.4631060295505,27.63105030693,31.3080741193024,19.3086217293611,10.9638149279673,1.03125627011808,1.14796274299438,1.10652010347796,1.15535616305536,1.3091060956904,0.807364717132272,0.458437555102583
117,20.7092175085521,20.6238258706183,20.4911774417951,20.396279337561,20.2128608531673,0.600238529229064,0.310062375264701,0.670656376190097,0.667891015961979,0.663595271106088,0.660522049306825,0.654582144719943,0.0194383876018588,0.0100411958540705
126,3.38166256006561,3.56895897021217,3.54095383064176,3.52791007308033,3.36947932713472,2.52420134755848,1.01717065148155,0.130197351172046,0.137408448096111,0.136330222540928,0.13582802498169,0.129728284661672,0.0971842469316771,0.039162075505923
150,0.662493693077847,0.544420013469428,0.540660474839763,0.540041627495008,0.536605446347794,0.532552722725197,0.269826841231305,0.027041202807329,0.0222217541848594,0.0220682999744888,0.0220430402977082,0.0219027846662126,0.0217373634364774,0.0110136027147647
151,17.9665379597317,21.4018337760556,19.4037414042949,15.3772542636336,15.6255253107985,3.74810373254798,4.45265498730475,0.721682485969543,0.859671943388774,0.779412281049766,0.617675765316481,0.627648352517966,0.150554370877657,0.178854887213383
158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
163,1.29497504787727,1.27861089985832,1.26821694735808,1.26059272182602,1.26469551552214,0.796839777617882,0.445416235810845,0.0753578680646576,0.0744295638228677,0.0738145421142406,0.073377594152759,0.0735841812360646,0.046361436803092,0.0259150424560234
166,4.71135033684091,4.76729289892403,4.8736604676559,4.93039699017588,4.76553719304932,1.46289613283941,0.819205876298435,0.182228516120267,0.184392297063632,0.188506447535899,0.190700937771065,0.184324388788208,0.0565827995088458,0.0316857504880364
172,51.8235574333405,51.041841596696,50.2093056521173,49.607991224646,48.9457449161422,3.42176752294606,1.922583987762,2.74572539133257,2.70430837699035,2.66019880220542,2.62833984899083,2.59325259148416,0.18129272547673,0.101862703635459
185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,1.81949682171174,1.86704422163401,1.78346114996777,1.731449292854,1.66905427098244,1.36526222923135,0.764850067164602,0.0953235817345959,0.0978375902473043,0.0934686306324127,0.0907748222960383,0.0874624424921112,0.0715767055711398,0.0400988519944107
202,2.38189370282479,2.3784519597083,2.38890640026468,2.40481855144684,2.41076636288895,0.860345539715474,0.481274704776059,0.14169316598759,0.141488424911986,0.14211033460481,0.143056910464177,0.143410731557423,0.0511799007743357,0.0286298824118764
214,4.78155162089685,4.74581234619423,4.67694806032928,4.68362059803813,4.66296753562967,0.601701976030683,0.337783661488481,0.279442419207227,0.27733846877689,0.273305811078316,0.273687729741951,0.272480866452222,0.0351605012306214,0.0197384142292461
228,1.21764248739044,1.13222775411777,1.17556240849747,1.22028897119367,1.27037102466214,0.982634690760405,0.538419563534897,0.0697937118447279,0.0649911035344973,0.0674467092364125,0.069985512703649,0.0727743961694945,0.0564042991275723,0.0309058680741856
